review,topics
"gyms okay, lack free weights, showers smelt sewage disgusting use. cannot find anywhere report it. could find staff. improve keeping better standard hygiene throughout gym reporting feature improvements","['free weights availability', 'hygiene and cleanliness', 'reporting feature for issues']"
"need better air conditioning. also, kind mad pay £22 month & listen pop music + ads... think that's mad anyway","['Air conditioning', 'Pricing', 'Music and advertisements']"
gym freezing cold showers boiling hot.,"['Temperature control', 'Shower temperature', 'User comfort']"
"made official complaint via email recommend women same, see via reviews (and imagine haven’t said anything) fares mahhediene guy really issue women. love gym, equipment classes he’s really making hard come back. detailed everything via email gym would like also make “students” aware alone. picks people, see it’s vulnerable ones, maybe first class, asking help - shouldn’t really put vulnerable position gym safe space, right? everyone trying improve know struggles limits. guy unprofessional personal trainer i’ve ever met, he’s definitely wrong job role. needs therapy!","['Space and Capacity', 'Accessibility and Facilities', 'Crowd Management and Peak Times']"
could added 2nd floor. bit small maybe future refurbish add this. attended midnight quite. can't even think crowded day. showers also hottest u go midnight busy use accessible room. hot shower🔥,"['Womens area equipment', 'Leg machines', 'Facility layout']"
need leg machines womens area!!,"['Class booking flexibility', 'Cancellation policy', 'Last-minute plan changes']"
think disabling class misses unfair. happened i’m sure justification. haven’t booked single class full. also cancel one due injury - cancel within hours class excessive. doesn’t allow last minute change plan happen without warning - especially children .,"['Customer service response time', 'Lifting equipment availability', 'Efficiency of gym operations']"
waited hour mot tester get lift work. waste time,"['cleanliness of changing rooms', 'maintenance of toilets', 'quality of exercising machines']"
nice exercising machines well maintained. issue always dirty changing rooms toilets,"['Workout sauna place', 'Air conditioning usage', 'Comfort during workouts']"
"want workout sauna place. know there's aircon installed, use it.","['Cleaning facilities', 'Blue roll cleaning spray', 'More cleaning stations']"
two cleaning stations entire gym never blue roll cleaning spray in. needs change cleaning facilities. puts lot people coming using machines,"['Upgrade gym equipment', 'Increase gym space', 'Improve machine availability']"
gym machines old lot people enrolled camberwell gym. wait long time able use machine. gym small many people.,"['Age-appropriate content', 'Behavioral management', 'Space utilization']"
"wrexham pure joke. alot underage kids (wearing school uniforms) pissing about, going anything besides taking space. manager walks around sees going doesn’t say anything. really bad","['Machine Maintenance', 'Wiring Issues', 'User Satisfaction']"
machines working like leg extension ets wires everything perfect 👌,"['Long Plan Leave', 'Changing Room Toilets', 'Closed Toilets']"
long plan leave changing room toilets closed?,"['Cost saving issue', 'Music volume', 'Overnight availability']"
yanga water chilled & told cost saving issue & music loud theres really need overnight,"['shower facilities', 'temperature control', 'coffee service']"
disappointed shower facilities bently bridge wednesfield luke warm verging cold. would nice somewhere coffee sit down.,"['Improving safety measures', 'Addressing sexual assault and predatory behavior', 'Enhancing customer support and accountability']"
"puregym management i.e rebecca passmore uk team, support gym fix problems members report….. generic response sorry it’s star, contact gym manager…. it’s clear don’t resources approval cost fix problems (which isn’t fault)…… increased cost gym membership yet cannot provide clean, safe, enjoyable place workout. list things resolve priority - mens showers - fix showers, remove mould, smell fix water pressure - clean gym better - dust everywhere - police car parking use anpr required - fix many machines constantly break also side note, puregym leicester looking great, well kept, invested in. replicate walnut street. giving lick paint update it. might actually make members feel getting value moneys","['User Interface Design', 'Feature Set Expansion', 'Instructional Content Quality']"
"reviews much joke pure gym self. perpetrators getting people try back up. clear day: multiple accounts reported instances sexual assault, predatory behavior, inappropriate touching, invasion personal space, abuse positions power. wake puregym duty care instead part problem","['cardio equipment maintenance', 'weight machine availability', 'bench station sufficiency']"
bare basics,"['User Interface Design', 'Content Variety', 'Pricing Structure']"
"fine cardio work, weight machines frequently order, enough bench stations, dumbbell's usually wrong places finding right ones take weight area usually mess. treat new members lot better existing ones better deals etc. overpriced imo","['Locker and changing room facilities', 'Shower temperature control', 'Maintenance and repairs']"
seems puregym yoga pilates. why?,"['Upgrade equipment', 'Improve customer service', 'Enhance gym facilities']"
"decent enough gym lockers changing room ancient. showers freezing literally months now, fixed?","['Noise-cancelling headphones', 'Crowded gym', 'Equipment availability']"
"targeted manager! targeted manager! finished three-sets deadlifts went refill water-bottle. returned fourth set, another gym-member asked finished weights said yes, took them. proceeded preacher station curls. turned back manager started putting weights away said - ''excuse me, finished weights''. statement angered somewhat response say - ""well could cruel tell put weights left floor away"" - weights already given somebody else! re-clip ez-bar skulked off. left gym, approached manager told gym member took ownership weights might want check cctv wrongly accusing leaving weights lying around. completely ignored walked without apologising saying anything. manger. attitude stinks. perhaps consider revenue generated puregym members helps pay salary co-worker's salary!!! due experience, canceling membership going another gym. disclaimer. little inconsistent putting weights away instance, fault. date experience: august","['Cardio equipment availability', 'Locker shower temperature', 'Peak hours management']"
batterd gym. reason still member 24hour. definitely needs money spending new equipment even calf machine. need grind away. personal trainers/staff good helpful.,"['Parking facilities', 'Car parking management', 'Customer wait time']"
"average pure gym context: using pure gym years now, roughly locations across country, one top worst pure gyms. pros: -free parking -clean good size changing room. -still cheap considering current market. -freindly staff -free, decent wifi (they use o2 wifi much faster less restrictive puregym wifi used gyms) cons: -awful inconistent gym layout (will talk later) -lacking equipment, excessive amounts others -not hours (i get located near residential place pretty much soundproof pubs open less mile away till much later) -awful music (generic modern pop dribble) -only doors get one usually broke (happend good times year count). -biased air con (some areas like tredmill room cool, others unit even turned on) layout really ruins gym. dont understand thought process person designed utterly idiotic. upstairs room full treadmills, room full crosstrainers, cycle class room full bikes, row rowing machines, little room chest, shoulder, bicep, tricep hip machines. also class lessons little area yoga mats. go downstairs, room squat racks, deadlift platform, smith machines, bench press, leg press , pull up/ dip station seated bicep curl rack? room full benches free weights, leg press machine, hamstring curl machine leg extension machine. finally little area cable machines, assisted pull dip machine, lat pull downs back row machines. reason, room calf press machine??? full lower body workout, go almost every area gym? going stairs leg day never ideal. goes upper too. get choices made. like one cable machine complete opposite side gym, missing extension requiren gotta whole lap hope get stolen whole ur gone. surley makes sense lower body equipment room, cable machines together also. space restctions, layout could heavily improved. also need increase decrease certain bits equipment. usually go, benches taken, however crosstrainers use, excessive, especially considering bikes treadmills too. gym one flat bench, ludacris, cable machines could added upstairs next existing one. gym needs redesign, investment weightlifting equipment, gym would massively improved. stars fair.","['24h gym availability', 'gym equipment quality', 'gym cleanliness and maintenance']"
"puregym eldon gardens accessibility issues people autism. raised issue asked reasonable adjustments. one issues causes pain due sensory issues. could easily fixed told might impact enjoyment gym users. prioritising impacting fun fully abled members causing pain someone disability. lodged complaint threatened ban. also told me, writing, kept leaving negative reviews would review membership. trying suppress negative reviews. also subject derogatory comments staff members since making complaints. always one would act witness around formal complaint go nowhere. today staff member called connie directed derogatory comments towards talking another gym member seemed friend. good laugh expense. treat inhumanely asking equality.","['Water temperature', 'Toilet cleanliness', 'Overall cleanliness and maintenance']"
